is_aml_paper,arxiv_id,found_in_artifacts,num_artifacts,paper_title,paper_authors,paper_pub_date,first_adoption_date,first_adoption_artifact,all_adoptions,adoption_lag_months,G1,G2,G3,G4,G5,G6,T1,T2,Q1
YES,1605.07277,IBM ART,1,Transferability in Machine Learning: from Phenomena to Black-Box Attacks using Adversarial Samples,Nicolas Papernot; Patrick McDaniel; Ian Goodfellow,2016-05-24,2019-05-30,IBM ART,IBM ART:2019-05-30; IBM ART:2019-07-01; IBM ART:2019-09-03,36.2,,,,,,,,,
YES,1607.02533,"CleverHans, Foolbox, IBM ART",3,Adversarial examples in the physical world,Alexey Kurakin; Ian Goodfellow; Samy Bengio,2016-07-08,2017-05-09,IBM ART,CleverHans:2018-07-23; CleverHans:2018-12-26; CleverHans:2018-12-26; CleverHans:2018-12-26; CleverHans:2018-12-26; IBM ART:2017-05-09; IBM ART:2018-06-28; Foolbox:2019-12-11,10.0,,,,,,,,,
YES,1608.00853,IBM ART,1,A study of the effect of JPG compression on adversarial images,Gintare Karolina Dziugaite; Zoubin Ghahramani; Daniel M. Roy,2016-08-02,2018-03-20,IBM ART,IBM ART:2018-03-20,19.5,,,,,,,,,
YES,1608.04644,"CleverHans, Foolbox, IBM ART",3,Towards Evaluating the Robustness of Neural Networks,Nicholas Carlini; David Wagner,2016-08-16,2017-11-28,IBM ART,CleverHans:2019-01-09; CleverHans:2020-04-03; CleverHans:2020-01-02; IBM ART:2017-11-28; Foolbox:2019-10-30,15.4,,,,,,,,,
YES,1610.00768,CleverHans,1,Technical Report on the CleverHans v2.1.0 Adversarial Examples Library,Nicolas Papernot; Fartash Faghri; Nicholas Carlini; Ian Goodfellow; Reuben Feinman...,2016-10-03,2016-09-14,CleverHans,CleverHans:2016-09-14; CleverHans:2016-09-14,-0.6,,,,,,,,,
YES,1610.05820,IBM ART,1,Membership Inference Attacks against Machine Learning Models,Reza Shokri; Marco Stronati; Congzheng Song; Vitaly Shmatikov,2016-10-18,2021-08-23,IBM ART,IBM ART:2021-08-23,58.1,,,,,,,,,
YES,1610.08401,IBM ART,1,Universal adversarial perturbations,Seyed-Mohsen Moosavi-Dezfooli; Alhussein Fawzi; Omar Fawzi; Pascal Frossard,2016-10-26,2017-06-07,IBM ART,IBM ART:2017-06-07,7.4,,,,,,,,,
YES,1611.01236,"CleverHans, IBM ART",2,Adversarial Machine Learning at Scale,Alexey Kurakin; Ian Goodfellow; Samy Bengio,2016-11-04,2017-06-07,IBM ART,CleverHans:2018-07-23; CleverHans:2018-12-26; CleverHans:2019-04-20; CleverHans:2018-12-26; CleverHans:2019-10-04; CleverHans:2019-04-22; CleverHans:2018-12-26; CleverHans:2019-07-11; CleverHans:2018-12-26; CleverHans:2020-01-02; CleverHans:2018-12-26; CleverHans:2019-06-27; CleverHans:2017-06-21; IBM ART:2023-12-08; IBM ART:2019-11-08; IBM ART:2020-02-09; IBM ART:2019-11-08; IBM ART:2019-11-08; IBM ART:2017-11-28; IBM ART:2019-11-08; IBM ART:2017-06-07; IBM ART:2019-11-08; IBM ART:2020-04-16; IBM ART:2018-09-26; IBM ART:2018-09-26; IBM ART:2018-09-26,7.1,,,,,,,,,
NO - Exclude,1611.05431,RobustBench,1,Aggregated Residual Transformations for Deep Neural Networks,Saining Xie; Ross Girshick; Piotr Dollár; Zhuowen Tu; Kaiming He,2016-11-16,2021-02-12,RobustBench,RobustBench:2021-02-12,50.9,,,,,,,,,
YES,1703.06857,CleverHans,1,On the Limitation of Convolutional Neural Networks in Recognizing Negative Images,Hossein Hosseini; Baicen Xiao; Mayoore Jaiswal; Radha Poovendran,2017-03-20,2019-01-09,CleverHans,CleverHans:2019-01-09; CleverHans:2019-04-20,21.7,,,,,,,,,
YES,1704.01155,IBM ART,1,Feature Squeezing: Detecting Adversarial Examples in Deep Neural Networks,Weilin Xu; David Evans; Yanjun Qi,2017-04-04,2018-02-27,IBM ART,IBM ART:2018-02-27; IBM ART:2020-07-23; IBM ART:2018-03-20; IBM ART:2018-03-20,10.8,,,,,,,,,
YES,1705.02364,TextAttack,1,Supervised Learning of Universal Sentence Representations from Natural Language Inference Data,Alexis Conneau; Douwe Kiela; Holger Schwenk; Loic Barrault; Antoine Bordes,2017-05-05,2019-10-11,TextAttack,TextAttack:2019-10-11,29.2,,,,,,,,,
YES,1705.02900,IBM ART,1,Keeping the Bad Guys Out: Protecting and Vaccinating Deep Learning with JPEG Compression,Nilaksh Das; Madhuri Shanbhogue; Shang-Tse Chen; Fred Hohman; Li Chen...,2017-05-08,2018-03-20,IBM ART,IBM ART:2018-03-20,10.4,,,,,,,,,
YES,1705.07204,"CleverHans, IBM ART",2,Ensemble Adversarial Training: Attacks and Defenses,Florian Tramèr; Alexey Kurakin; Nicolas Papernot; Ian Goodfellow; Dan Boneh...,2017-05-19,2017-06-21,CleverHans,CleverHans:2017-06-21; IBM ART:2018-02-23,1.1,,,,,,,,,
YES,1705.07263,IBM ART,1,Adversarial Examples Are Not Easily Detected: Bypassing Ten Detection Methods,Nicholas Carlini; David Wagner,2017-05-20,2018-05-02,IBM ART,IBM ART:2018-05-02,11.4,,,,,,,,,
YES,1706.05394,IBM ART,1,A Closer Look at Memorization in Deep Networks,Devansh Arpit; Stanisław Jastrzębski; Nicolas Ballas; David Krueger; Emmanuel Bengio...,2017-06-16,2017-06-08,IBM ART,IBM ART:2017-06-08,-0.3,,,,,,,,,
YES,1706.06083,"AutoAttack, CleverHans, IBM ART, RobustBench",4,Towards Deep Learning Models Resistant to Adversarial Attacks,Aleksander Madry; Aleksandar Makelov; Ludwig Schmidt; Dimitris Tsipras; Adrian Vladu,2017-06-19,2016-09-14,CleverHans,CleverHans:2017-09-26; CleverHans:2017-09-26; CleverHans:2018-12-26; CleverHans:2018-12-26; CleverHans:2018-12-26; CleverHans:2018-12-26; CleverHans:2016-09-14; CleverHans:2017-09-26; IBM ART:2020-10-09; IBM ART:2020-02-19; IBM ART:2020-04-16; IBM ART:2018-09-26; IBM ART:2018-09-26; IBM ART:2018-09-26; IBM ART:2019-09-03; RobustBench:2020-07-03; AutoAttack:2020-02-17,-9.1,,,,,,,,,
YES,1706.10295,CleverHans,1,Noisy Networks for Exploration,Meire Fortunato; Mohammad Gheshlaghi Azar; Bilal Piot; Jacob Menick; Ian Osband...,2017-06-30,2018-01-23,CleverHans,CleverHans:2018-01-23,6.8,,,,,,,,,
YES,1707.04131,Foolbox,1,Foolbox: A Python toolbox to benchmark the robustness of machine learning models,Jonas Rauber; Wieland Brendel; Matthias Bethge,2017-07-13,2017-06-04,Foolbox,Foolbox:2017-06-04; Foolbox:2020-08-10,-1.3,,,,,,,,,
YES,1708.03999,IBM ART,1,ZOO: Zeroth Order Optimization based Black-box Attacks to Deep Neural Networks without Training Substitute Models,Pin-Yu Chen; Huan Zhang; Yash Sharma; Jinfeng Yi; Cho-Jui Hsieh,2017-08-14,2019-02-16,IBM ART,IBM ART:2019-02-16,18.1,,,,,,,,,
YES,1708.04552,IBM ART,1,Improved Regularization of Convolutional Neural Networks with Cutout,Terrance DeVries; Graham W. Taylor,2017-08-15,2018-03-20,IBM ART,IBM ART:2018-03-20; IBM ART:2022-09-14; IBM ART:2022-09-14,7.1,,,,,,,,,
YES,1708.06733,IBM ART,1,BadNets: Identifying Vulnerabilities in the Machine Learning Model Supply Chain,Tianyu Gu; Brendan Dolan-Gavitt; Siddharth Garg,2017-08-22,2020-03-04,IBM ART,IBM ART:2020-03-04,30.4,,,,,,,,,
YES,1709.04114,"CleverHans, IBM ART",2,EAD: Elastic-Net Attacks to Deep Neural Networks via Adversarial Examples,Pin-Yu Chen; Yash Sharma; Huan Zhang; Jinfeng Yi; Cho-Jui Hsieh,2017-09-13,2017-11-28,IBM ART,CleverHans:2019-01-09; IBM ART:2017-11-28,2.5,,,,,,,,,
YES,1710.06081,"CleverHans, Foolbox, IBM ART",3,Boosting Adversarial Attacks with Momentum,Yinpeng Dong; Fangzhou Liao; Tianyu Pang; Hang Su; Jun Zhu...,2017-10-17,2018-06-28,IBM ART,CleverHans:2019-01-09; CleverHans:2019-10-04; IBM ART:2018-06-28; Foolbox:2023-11-09,8.3,,,,,,,,,
YES,1710.08864,IBM ART,1,One pixel attack for fooling deep neural networks,Jiawei Su; Danilo Vasconcellos Vargas; Sakurai Kouichi,2017-10-24,2020-02-09,IBM ART,IBM ART:2020-02-09; IBM ART:2020-02-09,27.5,,,,,,,,,
YES,1710.09412,"CleverHans, IBM ART",2,mixup: Beyond Empirical Risk Minimization,Hongyi Zhang; Moustapha Cisse; Yann N. Dauphin; David Lopez-Paz,2017-10-25,2018-06-11,CleverHans,CleverHans:2018-06-11; IBM ART:2022-10-19; IBM ART:2022-10-19; IBM ART:2022-10-19,7.5,,,,,,,,,
YES,1710.10766,IBM ART,1,PixelDefend: Leveraging Generative Models to Understand and Defend against Adversarial Examples,Yang Song; Taesup Kim; Sebastian Nowozin; Stefano Ermon; Nate Kushman,2017-10-30,2018-02-27,IBM ART,IBM ART:2018-02-27,3.9,,,,,,,,,
YES,1712.02779,"Foolbox, IBM ART",2,Exploring the Landscape of Spatial Robustness,Logan Engstrom; Brandon Tran; Dimitris Tsipras; Ludwig Schmidt; Aleksander Madry,2017-12-07,2019-01-14,IBM ART,IBM ART:2019-01-14; Foolbox:2020-03-30,13.2,,,,,,,,,
YES,1712.04248,"Foolbox, IBM ART",2,Decision-Based Adversarial Attacks: Reliable Attacks Against Black-Box Machine Learning Models,Wieland Brendel; Jonas Rauber; Matthias Bethge,2017-12-12,2017-06-01,IBM ART,IBM ART:2017-06-01; Foolbox:2019-12-20,-6.4,,,,,,,,,
YES,1712.06751,TextAttack,1,HotFlip: White-Box Adversarial Examples for Text Classification,Javid Ebrahimi; Anyi Rao; Daniel Lowd; Dejing Dou,2017-12-19,2019-10-11,TextAttack,TextAttack:2020-05-15; TextAttack:2019-11-10; TextAttack:2019-10-11; TextAttack:2019-10-11; TextAttack:2021-06-17; TextAttack:2020-11-14,21.7,,,,,,,,,
YES,1712.07113,IBM ART,1,Query-Efficient Black-box Adversarial Examples (superceded),Andrew Ilyas; Logan Engstrom; Anish Athalye; Jessy Lin,2017-12-19,2019-01-24,IBM ART,IBM ART:2019-01-24,13.2,,,,,,,,,
YES,1712.09136,IBM ART,1,Towards Measuring Membership Privacy,Yunhui Long; Vincent Bindschaedler; Carl A. Gunter,2017-12-25,2021-01-05,IBM ART,IBM ART:2021-01-05,36.4,,,,,,,,,
YES,1712.09344,CleverHans,1,"Whatever Does Not Kill Deep Reinforcement Learning, Makes It Stronger",Vahid Behzadan; Arslan Munir,2017-12-23,2018-01-23,CleverHans,CleverHans:2018-01-23,1.0,,,,,,,,,
YES,1712.09665,"CleverHans, IBM ART",2,Adversarial Patch,Tom B. Brown; Dandelion Mané; Aurko Roy; Martín Abadi; Justin Gilmer,2017-12-27,2018-02-05,CleverHans,CleverHans:2018-02-05; IBM ART:2019-02-13; IBM ART:2019-05-02; IBM ART:2019-05-02; IBM ART:2019-05-02,1.3,,,,,,,,,
YES,1801.01944,"CleverHans, IBM ART",2,Audio Adversarial Examples: Targeted Attacks on Speech-to-Text,Nicholas Carlini; David Wagner,2018-01-05,2019-03-12,IBM ART,CleverHans:2019-06-05; IBM ART:2019-03-12; IBM ART:2020-12-04; IBM ART:2020-09-04,14.2,,,,,,,,,
YES,1801.04354,TextAttack,1,Black-box Generation of Adversarial Text Sequences to Evade Deep Learning Classifiers,Ji Gao; Jack Lanchantin; Mary Lou Soffa; Yanjun Qi,2018-01-13,2019-10-11,TextAttack,TextAttack:2020-02-19; TextAttack:2019-10-11; TextAttack:2019-10-11; TextAttack:2021-06-17; TextAttack:2020-11-14,20.9,,,,,,,,,
YES,1801.10578,IBM ART,1,Evaluating the Robustness of Neural Networks: An Extreme Value Theory Approach,Tsui-Wei Weng; Huan Zhang; Pin-Yu Chen; Jinfeng Yi; Dong Su...,2018-01-31,2017-06-08,IBM ART,IBM ART:2017-06-08,-7.8,,,,,,,,,
YES,1802.00420,"AutoAttack, CleverHans, IBM ART, RobustBench",4,Obfuscated Gradients Give a False Sense of Security: Circumventing Defenses to Adversarial Examples,Anish Athalye; Nicholas Carlini; David Wagner,2018-02-01,2018-02-23,IBM ART,CleverHans:2018-10-08; CleverHans:2019-01-09; CleverHans:2019-04-10; IBM ART:2018-10-23; IBM ART:2018-03-20; IBM ART:2018-08-22; IBM ART:2018-02-27; IBM ART:2020-02-19; IBM ART:2018-02-23; RobustBench:2020-06-28; AutoAttack:2020-02-17,0.7,,,,,,,,,
YES,1802.03162,MITRE ATLAS,1,URLNet: Learning a URL Representation with Deep Learning for Malicious URL Detection,Hung Le; Quang Pham; Doyen Sahoo; Steven C. H. Hoi,2018-02-09,2021-03-16,MITRE ATLAS,MITRE ATLAS:2021-03-16,37.2,,,,,,,,,
YES,1802.05666,CleverHans,1,Adversarial Risk and the Dangers of Evaluating Against Weak Attacks,Jonathan Uesato; Brendan O'Donoghue; Aaron van den Oord; Pushmeet Kohli,2018-02-15,2019-01-09,CleverHans,CleverHans:2019-01-09; CleverHans:2019-01-09; CleverHans:2019-07-11,10.8,,,,,,,,,
YES,1803.01128,TextAttack,1,Seq2Sick: Evaluating the Robustness of Sequence-to-Sequence Models with Adversarial Examples,Minhao Cheng; Jinfeng Yi; Pin-Yu Chen; Huan Zhang; Cho-Jui Hsieh,2018-03-03,2019-10-11,TextAttack,TextAttack:2020-04-26; TextAttack:2020-04-26; TextAttack:2019-10-11; TextAttack:2019-10-11; TextAttack:2021-06-17; TextAttack:2020-11-14,19.3,,,,,,,,,
YES,1803.04765,CleverHans,1,"Deep k-Nearest Neighbors: Towards Confident, Interpretable and Robust Deep Learning",Nicolas Papernot; Patrick McDaniel,2018-03-13,2019-01-24,CleverHans,CleverHans:2019-01-24,10.4,,,,,,,,,
YES,1803.08494,CleverHans,1,Group Normalization,Yuxin Wu; Kaiming He,2018-03-22,2018-08-24,CleverHans,CleverHans:2018-08-24,5.1,,,,,,,,,
YES,1803.09868,IBM ART,1,Bypassing Feature Squeezing by Increasing Adversary Strength,Yash Sharma; Pin-Yu Chen,2018-03-27,2018-02-27,IBM ART,IBM ART:2018-02-27; IBM ART:2020-07-23; IBM ART:2018-03-20; IBM ART:2018-03-20; IBM ART:2018-03-20; IBM ART:2022-09-14; IBM ART:2022-09-14; IBM ART:2018-03-20; IBM ART:2018-03-20; IBM ART:2018-03-20; IBM ART:2022-10-19; IBM ART:2022-10-19; IBM ART:2022-10-19,-0.9,,,,,,,,,
YES,1804.00097,CleverHans,1,Adversarial Attacks and Defences Competition,Alexey Kurakin; Ian Goodfellow; Samy Bengio; Yinpeng Dong; Fangzhou Liao...,2018-03-31,2018-03-09,CleverHans,CleverHans:2018-03-09,-0.7,,,,,,,,,
YES,1804.00792,IBM ART,1,Poison Frogs! Targeted Clean-Label Poisoning Attacks on Neural Networks,Ali Shafahi; W. Ronny Huang; Mahyar Najibi; Octavian Suciu; Christoph Studer...,2018-04-03,2019-09-03,IBM ART,IBM ART:2020-04-23; IBM ART:2019-09-03,17.0,,,,,,,,,
YES,1804.02767,IBM ART,1,YOLOv3: An Incremental Improvement,Joseph Redmon; Ali Farhadi,2018-04-08,2020-03-07,IBM ART,IBM ART:2020-03-07,23.0,,,,,,,,,
YES,1804.07781,TextAttack,1,Pathologies of Neural Models Make Interpretations Difficult,Shi Feng; Eric Wallace; Alvin Grissom; Mohit Iyyer; Pedro Rodriguez...,2018-04-20,2019-10-11,TextAttack,TextAttack:2020-06-03; TextAttack:2020-06-30; TextAttack:2019-10-11; TextAttack:2019-10-11; TextAttack:2021-06-17; TextAttack:2020-11-14,17.7,,,,,,,,,
YES,1804.07998,TextAttack,1,Generating Natural Language Adversarial Examples,Moustafa Alzantot; Yash Sharma; Ahmed Elgohary; Bo-Jhang Ho; Mani Srivastava...,2018-04-21,2019-10-11,TextAttack,TextAttack:2019-10-28; TextAttack:2019-11-10; TextAttack:2020-07-25; TextAttack:2019-10-11; TextAttack:2019-10-11; TextAttack:2021-06-17; TextAttack:2020-11-14,17.7,,,,,,,,,
YES,1805.06087,TextAttack,1,Learning to Write with Cooperative Discriminators,Ari Holtzman; Jan Buys; Maxwell Forbes; Antoine Bosselut; David Golub...,2018-05-16,2020-06-27,TextAttack,TextAttack:2020-06-27,25.4,,,,,,,,,
YES,1805.09190,Foolbox,1,Towards the first adversarially robust neural network model on MNIST,Lukas Schott; Jonas Rauber; Matthias Bethge; Wieland Brendel,2018-05-23,2018-01-19,Foolbox,Foolbox:2018-01-19,-4.1,,,,,,,,,
YES,1805.11090,Foolbox,1,GenAttack: Practical Black-box Attacks with Gradient-Free Optimization,Moustafa Alzantot; Yash Sharma; Supriyo Chakraborty; Huan Zhang; Cho-Jui Hsieh...,2018-05-28,2020-03-02,Foolbox,Foolbox:2020-03-02,21.2,,,,,,,,,
YES,1805.12152,"RobustBench, TextAttack",2,Robustness May Be at Odds with Accuracy,Dimitris Tsipras; Shibani Santurkar; Logan Engstrom; Alexander Turner; Aleksander Madry,2018-05-30,2020-06-28,RobustBench,TextAttack:2020-08-30; RobustBench:2020-06-28,25.0,,,,,,,,,
YES,1806.00054,IBM ART,1,Defending Against Machine Learning Model Stealing Attacks Using Deceptive Perturbations,Taesung Lee; Benjamin Edwards; Ian Molloy; Dong Su,2018-05-31,2019-03-12,IBM ART,IBM ART:2019-03-12,9.4,,,,,,,,,
YES,1806.02299,IBM ART,1,DPatch: An Adversarial Patch Attack on Object Detectors,Xin Liu; Huanrui Yang; Ziwei Liu; Linghao Song; Hai Li...,2018-06-05,2020-04-02,IBM ART,IBM ART:2020-04-02; IBM ART:2020-11-17,21.9,,,,,,,,,
YES,1806.05476,IBM ART,1,Copycat CNN: Stealing Knowledge by Persuading Confession with Random Non-Labeled Data,Jacson Rodrigues Correia-Silva; Rodrigo F. Berriel; Claudine Badue; Alberto F. de Souza; Thiago Oliveira-Santos,2018-06-14,2017-06-01,IBM ART,IBM ART:2017-06-01,-12.4,,,,,,,,,
YES,1809.10875,IBM ART,1,Characterizing Audio Adversarial Examples Using Temporal Dependency,Zhuolin Yang; Bo Li; Pin-Yu Chen; Dawn Song,2018-09-28,2020-04-30,IBM ART,IBM ART:2020-04-30,19.1,,,,,,,,,
YES,1810.08280,IBM ART,1,Exploring Adversarial Examples in Malware Detection,Octavian Suciu; Scott E. Coull; Jeffrey Johns,2018-10-18,2021-04-07,IBM ART,IBM ART:2021-04-07,29.6,,,,,,,,,
YES,1810.12715,"AutoAttack, IBM ART",2,On the Effectiveness of Interval Bound Propagation for Training Verifiably Robust Models,Sven Gowal; Krishnamurthy Dvijotham; Robert Stanforth; Rudy Bunel; Chongli Qin...,2018-10-30,2020-02-17,AutoAttack,IBM ART:2022-08-10; IBM ART:2022-08-10; AutoAttack:2020-02-17,15.6,,,,,,,,,
YES,1811.03194,RobustBench,1,AdVersarial: Perceptual Ad Blocking meets Adversarial Machine Learning,Florian Tramèr; Pascal Dupré; Gili Rusak; Giancarlo Pellegrino; Dan Boneh,2018-11-08,2020-06-28,RobustBench,RobustBench:2020-06-28,19.6,,,,,,,,,
YES,1811.03685,CleverHans,1,New CleverHans Feature: Better Adversarial Robustness Evaluations with Attack Bundling,Ian Goodfellow,2018-11-08,2018-10-08,CleverHans,CleverHans:2018-10-08,-1.0,,,,,,,,,
YES,1811.03728,IBM ART,1,Detecting Backdoor Attacks on Deep Neural Networks by Activation Clustering,Bryant Chen; Wilka Carvalho; Nathalie Baracaldo; Heiko Ludwig; Benjamin Edwards...,2018-11-09,2018-08-01,IBM ART,IBM ART:2018-08-01,-3.3,,,,,,,,,
YES,1811.09600,"AutoAttack, Foolbox, RobustBench",3,Decoupling Direction and Norm for Efficient Gradient-Based L2 Adversarial Attacks and Defenses,Jérôme Rony; Luiz G. Hafemann; Luiz S. Oliveira; Ismail Ben Ayed; Robert Sabourin...,2018-11-23,2020-02-07,Foolbox,Foolbox:2020-02-07; RobustBench:2020-06-28; RobustBench:2020-09-03; AutoAttack:2020-02-17,14.5,,,,,,,,,
YES,1811.11875,IBM ART,1,Adversarial Attacks for Optical Flow-Based Action Recognition Classifiers,Nathan Inkawhich; Matthew Inkawhich; Yiran Chen; Hai Li,2018-11-28,2020-03-29,IBM ART,IBM ART:2020-03-29,16.0,,,,,,,,,
YES,1811.12231,RobustBench,1,ImageNet-trained CNNs are biased towards texture; increasing shape bias improves accuracy and robustness,Robert Geirhos; Patricia Rubisch; Claudio Michaelis; Matthias Bethge; Felix A. Wichmann...,2018-11-29,2020-06-28,RobustBench,RobustBench:2020-06-28; RobustBench:2021-08-28; RobustBench:2021-08-28; RobustBench:2021-08-28,19.0,,,,,,,,,
YES,1812.02606,IBM ART,1,The Limitations of Model Uncertainty in Adversarial Settings,Kathrin Grosse; David Pfaff; Michael Thomas Smith; Michael Backes,2018-12-06,2019-07-31,IBM ART,IBM ART:2019-07-31; IBM ART:2019-09-03,7.8,,,,,,,,,
YES,1812.02766,IBM ART,1,Knockoff Nets: Stealing Functionality of Black-Box Models,Tribhuvanesh Orekondy; Bernt Schiele; Mario Fritz,2018-12-06,2017-11-28,IBM ART,IBM ART:2017-11-28,-12.3,,,,,,,,,
YES,1812.05271,TextAttack,1,TextBugger: Generating Adversarial Text Against Real-world Applications,Jinfeng Li; Shouling Ji; Tianyu Du; Bo Li; Ting Wang,2018-12-13,2019-10-11,TextAttack,TextAttack:2020-06-03; TextAttack:2019-10-11; TextAttack:2019-10-11; TextAttack:2021-06-17; TextAttack:2020-11-14,9.9,,,,,,,,,
